"","purpose","Freq"
"1","car",0.00998784059573193
"2","credit_card",0.232349424541261
"3","debt_consolidation",0.590745329785807
"4","educational",0.000476684708563083
"5","home_improvement",0.058406836312331
"6","house",0.00417747095660366
"7","major_purchase",0.0194696967135801
"8","medical",0.00962384730763293
"9","moving",0.00610111350392561
"10","other",0.048337857893865
"11","renewable_energy",0.000647975667668493
"12","small_business",0.0116939887015582
"13","vacation",0.0053370656731791
"14","wedding",0.00264486763829209
